Fecha,Hora,Animal,Probabilidad,RankLocal
2025-10-30,08:00,Paloma,0.25214076042175293,1
2025-10-30,09:00,Conejo,0.2409074604511261,1
2025-10-30,10:00,Canario,0.4950180649757385,1
2025-10-30,11:00,Hipopotamo,0.19996340572834015,1
2025-10-30,12:00,Zorro,0.07599794864654541,4
2025-10-30,13:00,Caballo,0.3285787105560303,1
2025-10-30,14:00,Chivo,0.33265724778175354,1
2025-10-30,15:00,Gorila,0.12693993747234344,1
2025-10-30,16:00,Pavo,0.2599201202392578,1
2025-10-30,17:00,Chiguire,0.3467918336391449,1
2025-10-30,18:00,Tiburon,0.1881113350391388,1
2025-10-30,19:00,Perico,0.3001598119735718,1
